; CSV, generated by libsigrok4DSL 0.2.0 on Sun Nov 09 13:07:41 2025
; Channels (16/16)
; Sample rate: 50 kHz
; Sample count: 600.64 K Samples
Time(s), clock, a15, a14, a13, a12, a11, a10, a9, a8, a7, a6, a5, a4, a3, a2, a1
1.44092,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.44094,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1.44096,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.441,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.44102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.44392,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.44394,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1.44396,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.44404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.44406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.46098,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.461,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.46102,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
1.46104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.46402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.46406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.4641,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
1.46412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.46422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.46426,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.46428,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
1.4643,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1.46432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.46434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.46438,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.4644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.46442,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1.46444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.48098,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.481,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.48102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.48104,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.48106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.484,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.48402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.48404,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.4841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.48412,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.48414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.50106,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.50108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.50404,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.50408,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1
1.5041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.50422,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.50428,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.50432,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.50434,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.50436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.50438,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
1.5044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.52106,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.52108,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.52112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.52414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.54112,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.54114,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1
1.54116,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.54418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5442,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.54426,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
1.54428,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5443,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
1.54432,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.54434,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
1.54436,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.54438,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.5444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.54444,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
1.54446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.54452,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1
1.54454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56068,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56084,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.56086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.56338,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1.56344,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.56346,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1.5638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56382,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
1.56386,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
1.5641,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1.56412,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
1.5642,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
1.56422,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56426,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1.56428,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
1.5644,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56442,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
1.56448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5645,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
1.56456,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
1.56458,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1
1.56462,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5647,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56546,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
1.56552,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1
1.56628,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1.56636,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1.56712,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1.56718,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
1.56794,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1.56802,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
1.56814,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56936,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56964,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56966,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57042,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5705,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.57132,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
